runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.517,335,664,39129,117101,567,567,554,557,196,91,16,0,228,0,0,0,0.003,0.001,0.011,0.074,0.063,0.413,0.426,0.011,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-0.agents
5.186,3592,6712,377649,967695,533,533,525,525,1776,2397,198,143,854,0,0,0,0.005,0.003,0.074,0.932,0.764,4.1,4.183,0.011,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-1.agents
0.219,142,275,16089,57910,540,540,534,536,109,49,8,0,85,0,0,0,0,0,0.005,0.034,0.025,0.168,0.175,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-2.agents
0.203,128,239,13849,44984,601,601,590,592,96,70,5,27,26,0,0,0,0,0,0.004,0.029,0.026,0.157,0.161,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-3.agents
0.09,49,98,8553,28651,572,572,565,566,41,8,6,0,35,0,0,0,0,0,0.003,0.01,0.009,0.066,0.07,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-4.agents
0.025,9,18,1634,6511,523,523,522,522,15,7,0,0,2,0,0,0,0,0,0.001,0.001,0.001,0.015,0.015,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-5.agents
0.019,5,11,1463,5389,534,534,532,534,11,2,1,0,2,0,0,0,0,0,0,0.004,0.004,0.008,0.008,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-6.agents
0.039,19,35,5724,12307,543,543,540,540,10,12,1,0,6,0,0,0,0.001,0,0,0.008,0.007,0.021,0.021,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-7.agents
5.844,3494,6514,690962,1714138,610,610,596,599,1805,2278,213,165,838,0,0,0,0.005,0,0.07,1.276,1.009,4.441,4.52,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-8.agents
0.176,112,225,19200,56521,534,534,527,528,81,21,2,0,89,0,0,0,0,0,0.002,0.018,0.018,0.146,0.15,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-9.agents
0.161,115,213,12699,42801,536,536,526,532,105,95,5,0,15,0,0,0,0.001,0,0.003,0.03,0.028,0.119,0.121,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-10.agents
0.085,43,80,7093,21130,557,557,552,553,39,29,0,0,14,0,0,0,0,0,0.001,0.012,0.009,0.061,0.063,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-11.agents
0.095,69,131,10640,26253,451,451,439,444,75,55,4,0,10,0,0,0,0,0,0.001,0.017,0.013,0.069,0.07,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-12.agents
0.779,372,740,142005,300915,531,531,506,509,104,30,5,0,337,0,0,0,0.001,0,0.007,0.166,0.162,0.591,0.6,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-13.agents
0.031,10,20,2147,8503,612,612,610,612,17,7,2,0,1,0,0,0,0,0,0,0.005,0.005,0.016,0.016,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-14.agents
0.959,728,1316,90821,260138,543,543,536,539,340,501,64,20,143,0,0,0,0.002,0.001,0.01,0.182,0.147,0.747,0.76,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-15.agents
16.793,9553,19081,3039185,6714456,504,504,482,486,2159,556,50,28,8919,0,0,0,0.019,0.003,0.181,3.17,2.959,13.254,13.464,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-16.agents
0.124,72,145,9203,30092,500,500,490,493,68,19,2,4,47,0,0,0,0,0,0.001,0.034,0.017,0.076,0.077,0.011,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-17.agents
1.379,1166,2321,129568,440174,499,499,486,490,595,363,183,6,614,0,0,0,0.001,0,0.026,0.179,0.159,1.158,1.185,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-18.agents
0.091,47,88,7073,23610,524,524,514,516,78,12,4,0,31,0,0,0,0,0,0.001,0.012,0.01,0.068,0.069,0.012,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-19.agents
0.244,162,319,29985,95395,569,569,560,564,86,19,40,0,103,0,0,0,0,0,0.002,0.027,0.027,0.204,0.207,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-20.agents
14.181,8375,16325,1734367,4206003,518,518,498,503,5609,5382,676,47,2270,0,0,0,0.021,0.003,0.214,2.704,2.398,11.092,11.338,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-21.agents
0.05,30,60,3550,13172,518,518,513,514,34,16,4,0,10,0,0,0,0,0,0,0.007,0.006,0.034,0.034,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-22.agents
0.967,803,1508,75352,243921,568,568,558,563,443,635,65,15,88,0,0,0,0.002,0.001,0.021,0.144,0.123,0.784,0.809,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-23.agents
1.951,1340,2575,188659,598206,562,562,554,556,905,943,42,8,347,0,0,0,0.002,0,0.031,0.326,0.283,1.569,1.604,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-24.agents
