runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.164,92,183,11732,39657,585,585,574,579,92,44,2,6,40,0,0,0,0,0,0.003,0.033,0.016,0.116,0.119,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-0.agents
6.136,4058,7859,630919,1700543,756,756,733,739,1436,1036,457,3,2562,0,0,0,0.011,0.006,0.099,1.274,0.912,4.679,4.788,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-1.agents
20.905,15093,29659,1611884,4797452,681,681,643,650,9183,5533,1740,335,7485,0,0,0,0.029,0.013,0.377,3.415,2.251,16.829,17.274,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-2.agents
0.479,248,479,36836,112271,693,693,680,685,283,145,1,5,97,0,0,0,0.001,0,0.005,0.093,0.062,0.36,0.367,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-3.agents
1.051,585,1171,112581,341018,635,635,620,626,499,147,48,29,361,0,0,0,0.003,0,0.014,0.236,0.152,0.787,0.801,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-4.agents
0.179,99,198,13293,45114,585,585,574,579,87,35,14,4,46,0,0,0,0,0,0.001,0.045,0.022,0.122,0.123,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-0.agents
5.83,3841,7445,609879,1635983,756,756,733,739,1347,842,536,2,2461,0,0,0,0.009,0.004,0.089,1.24,0.837,4.436,4.53,0.015,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-1.agents
22.011,15493,30403,1656851,4949903,681,681,643,650,9595,5686,1844,351,7612,0,0,0,0.033,0.008,0.379,3.561,2.303,17.762,18.209,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-2.agents
0.432,225,439,35667,108717,693,693,680,685,286,117,6,4,98,0,0,0,0.001,0.002,0.007,0.066,0.049,0.34,0.348,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-3.agents
0.965,522,1044,102840,310011,635,635,620,626,461,127,49,29,317,0,0,0,0.001,0,0.02,0.207,0.137,0.722,0.743,0.012,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-4.agents
