runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.285,143,277,14982,48261,585,585,574,574,94,143,0,0,0,0,0,0,0,0,0.004,0.015,0.018,0.248,0.251,0.011,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-0.agents
60.002,19304,37495,1909839,6378649,-1,749,733,733,8189,19304,0,0,0,0,0,0,0,0,0.938,2.869,3.186,54.696,55.73,0.011,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-1.agents
60.001,32419,54749,3019039,9040481,-1,662,643,643,22517,32419,0,0,0,0,0,0,0,0,0.946,3.03,2.942,54.976,56.038,0.011,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-2.agents
1.824,691,1324,75509,230958,693,693,680,680,446,691,0,0,0,0,0,0,0,0,0.022,0.077,0.104,1.623,1.65,0.017,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-3.agents
26.067,6984,12398,994478,2406334,635,635,620,620,3009,6984,0,0,0,0,0,0,0,0,0.305,1.41,1.905,23.349,23.699,0.095,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-4.agents
60.001,18295,28243,2043298,5002066,-1,736,732,732,5598,18295,0,0,0,0,0,0,0,0,0.581,2.986,3.027,55.469,56.133,0.01,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-5.agents
60.002,28807,55199,3789758,10781195,-1,670,651,651,11459,28807,0,0,0,0,0,0,0,0,0.855,3.714,4.027,53.958,54.915,0.011,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-6.agents
2.239,736,1304,79503,214434,660,660,650,650,270,736,0,0,0,0,0,0,0,0,0.029,0.096,0.101,2.036,2.072,0.022,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-7.agents
60.002,26445,51520,3750027,10481786,-1,716,701,701,10503,26445,0,0,0,0,0,0,0,0,0.739,4.366,4.362,53.631,54.478,0.01,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-8.agents
0.527,275,515,23790,77908,668,668,660,660,180,275,0,0,0,0,0,0,0,0,0.006,0.03,0.026,0.454,0.46,0.011,Disjoint ICBS+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-9.agents
