runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.218,147,284,17973,59275,585,585,574,574,105,147,0,0,0,0,0,0,0,0,0.004,0.02,0.018,0.177,0.181,0.011,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-0.agents
60.002,36583,70496,5980028,15176110,-1,750,733,733,17791,36583,0,0,0,0,0,0,0,0,1.239,4.371,5.119,51.982,53.353,0.01,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-1.agents
60.001,45011,77722,5694968,13938819,-1,663,643,643,27928,45011,0,0,0,0,0,0,0,0,1.139,3.605,3.652,53.769,55.026,0.01,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-2.agents
1.157,612,1167,98755,270328,693,693,680,680,540,612,0,0,0,0,0,0,0,0,0.026,0.05,0.06,1.034,1.063,0.01,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-3.agents
10.749,3838,6884,696243,1766249,635,635,620,620,1984,3838,0,0,0,0,0,0,0,0,0.177,0.8,1.052,9.282,9.48,0.013,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-4.agents
60.001,42779,71084,8531366,17402831,-1,737,732,732,12136,42779,0,0,0,0,0,0,0,0,0.722,4.406,4.374,53.685,54.509,0.014,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-5.agents
60.002,43702,83020,7732733,18918221,-1,671,651,651,14781,43702,0,0,0,0,0,0,0,0,1.007,5.441,6.013,51.299,52.428,0.012,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-6.agents
2.008,610,1137,96164,237295,660,660,650,650,341,610,0,0,0,0,0,0,0,0,0.029,0.112,0.122,1.8,1.834,0.017,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-7.agents
60.001,40487,77956,7348207,18244954,-1,717,701,701,14691,40487,0,0,0,0,0,0,0,0,1.071,6.35,6.545,50.72,51.899,0.016,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-8.agents
0.319,222,429,21513,69507,668,668,660,660,164,222,0,0,0,0,0,0,0,0,0.004,0.019,0.023,0.277,0.282,0.011,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-9.agents
60.001,42604,82714,6359479,17009066,-1,679,662,662,19584,42604,0,0,0,0,0,0,0,0,1.167,5.486,5.423,51.75,53.041,0.011,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-10.agents
60.001,35936,64521,5855080,12793666,-1,661,639,639,12607,35936,0,0,0,0,0,0,0,0,1.185,4.678,4.576,52.581,53.875,0.016,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-11.agents
60.002,38977,76428,7543408,19254104,-1,704,691,691,16012,38977,0,0,0,0,0,0,0,0,0.874,6.437,6.867,50.656,51.635,0.01,Disjoint ICBS+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-12.agents
