runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.001,27762,51439,3088920,9035108,-1,805,789,795,17170,17940,1393,95,8334,0,0,0,0.052,0.004,0.79,7.547,6.127,51.193,52.086,0.012,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-0.agents
60.002,19037,38028,4398500,10328350,-1,762,732,737,10773,2295,675,107,15960,0,0,0,0.047,0.027,0.613,7.788,6.822,51.123,51.818,0.013,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-1.agents
32.288,11906,22581,1947013,5272899,803,803,784,787,8770,6365,1239,144,4158,0,0,0,0.032,0.001,0.315,4.681,3.686,27.074,27.428,0.013,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-2.agents
60.001,27801,50881,2738756,8476081,-1,835,821,826,14966,20750,2125,318,4608,0,0,0,0.081,0.006,0.76,9.63,7.27,49.155,50.014,0.013,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-3.agents
2.582,753,1505,195022,435023,794,794,780,781,788,412,9,0,332,0,0,0,0.003,0,0.024,0.404,0.383,2.116,2.143,0.014,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-4.agents
60.001,25569,51070,3053482,9810329,-1,789,767,775,16099,1160,1707,168,22534,0,0,0,0.05,0.025,0.903,6.1,4.011,52.445,53.479,0.013,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-5.agents
60.007,25454,50854,3628577,10266957,-1,818,796,803,9418,3797,1057,91,20509,0,0,0,0.06,0.018,0.742,9.293,8.181,49.44,50.28,0.012,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-6.agents
60.007,23705,45921,3157649,9266396,-1,851,826,832,15746,10179,2312,1220,9994,0,0,0,0.059,0.012,0.702,10.219,7.139,48.644,49.435,0.012,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-7.agents
19.91,6547,12945,1254638,3250297,830,830,810,817,5727,2752,235,217,3343,0,0,0,0.022,0.008,0.194,3.505,3.068,16.061,16.269,0.014,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-8.agents
60.003,27869,55665,3564859,11566857,-1,819,798,805,11103,1015,1172,0,25682,0,0,0,0.063,0.009,0.776,5.328,4.536,53.4,54.289,0.013,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-9.agents
60.001,22859,44974,4340736,9393693,-1,809,776,780,7685,4495,1177,11,17176,0,0,0,0.057,0.003,0.521,11.345,9.858,47.772,48.361,0.013,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-10.agents
60.002,33888,66084,2843045,9137788,-1,767,740,746,11317,11249,3903,330,18406,0,0,0,0.095,0.01,0.907,8.717,6.578,49.781,50.781,0.012,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-12.agents
60.001,21491,42390,3694716,11466414,-1,882,861,867,14103,711,817,0,19963,0,0,0,0.045,0.007,0.775,6.553,5.513,52.224,53.098,0.014,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-13.agents
60.001,31178,60628,3077415,8732731,-1,724,706,710,14443,21293,719,514,8652,0,0,0,0.056,0.011,0.832,10.405,8.495,48.203,49.142,0.014,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-14.agents
