runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.001,37304,69361,4916011,13673804,-1,805,789,795,22608,25430,1952,91,9831,0,0,0,0.076,0.007,0.895,11.358,8.978,47.121,48.128,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-0.agents
60.002,25416,50716,9355360,20383996,-1,761,732,737,14056,3208,726,160,21322,0,0,0,0.067,0.051,0.901,10.291,9.001,48.18,49.18,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-1.agents
60.001,32423,60738,5299402,14541283,-1,802,784,787,24766,22387,2102,1510,6424,0,0,0,0.073,0.013,0.944,12.198,8.785,46.344,47.391,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-2.agents
60.002,36406,68953,4912017,13142212,-1,836,821,826,18049,23524,2638,485,9759,0,0,0,0.096,0.008,1.047,12.412,9.763,45.96,47.12,0.011,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-3.agents
0.564,238,471,69239,160634,794,794,780,781,206,119,2,0,117,0,0,0,0,0,0.004,0.112,0.101,0.431,0.436,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-4.agents
60.001,34010,67909,4677453,14865789,-1,789,767,775,25884,1612,2040,235,30123,0,0,0,0.066,0.032,1.247,8.707,6.237,49.284,50.709,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-5.agents
60.001,36882,73555,6898011,17402389,-1,819,796,803,10492,4845,1426,104,30507,0,0,0,0.091,0.025,0.981,11.804,10.309,46.547,47.654,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-6.agents
60.001,29004,56145,5856962,15003672,-1,851,826,833,22597,15641,2463,1362,9538,0,0,0,0.086,0.017,0.915,13.715,10.525,44.853,45.859,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-7.agents
10.982,5066,9996,1177336,2869943,830,830,810,817,4107,2519,180,161,2206,0,0,0,0.006,0.005,0.16,2.571,2.214,8.153,8.331,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-8.agents
60.001,38197,76341,8078643,21465642,-1,820,798,805,9375,1065,1782,0,35350,0,0,0,0.091,0.019,1.001,7.176,6.266,51.201,52.337,0.012,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-9.agents
60.001,31130,61738,8681477,18986116,-1,808,776,780,6725,3602,990,20,26518,0,0,0,0.068,0.009,0.846,13.896,12.407,44.75,45.689,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-10.agents
60.002,23417,46669,8469898,19914479,-1,820,786,796,9098,2662,1775,605,18375,0,0,0,0.054,0.099,0.899,11.119,8.984,47.359,48.342,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-11.agents
60.002,44911,87237,4461160,14000840,-1,767,740,746,15595,15889,5885,346,22791,0,0,0,0.118,0.015,1.212,11.436,8.987,46.567,47.915,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-12.agents
60.001,31979,63204,6555100,19504236,-1,882,861,867,16377,1336,1003,0,29640,0,0,0,0.073,0.007,0.995,8.836,7.536,49.587,50.693,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-13.agents
60.001,38887,74426,5906103,14540649,-1,724,706,710,16342,24941,1541,535,11870,0,0,0,0.12,0.008,0.968,13.072,10.738,45.278,46.359,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-14.agents
3.955,2108,4174,561512,1294203,730,730,713,714,955,197,16,1,1894,0,0,0,0.01,0.001,0.061,0.851,0.813,2.986,3.057,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-15.agents
60.001,37667,75038,4943349,15063725,-1,863,842,848,14119,7295,1362,973,28037,0,0,0,0.086,0.035,1.044,11.841,8.342,46.408,47.596,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-16.agents
60.002,29033,57945,9805527,22664817,-1,747,723,726,10243,845,1223,1,26964,0,0,0,0.067,0.021,0.863,10.206,9.073,48.432,49.384,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-17.agents
60.002,34278,68315,5866737,19251323,-1,840,819,826,25280,4419,1660,452,27747,0,0,0,0.084,0.033,1.07,10.276,9.026,48.004,49.219,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-18.agents
60.003,21707,42279,12791437,22602286,-1,896,872,878,6261,402,547,54,20704,0,0,0,0.038,0.024,0.616,8.159,7.627,50.81,51.508,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-19.agents
60.001,29142,58285,8638179,20286964,-1,814,789,796,19696,818,514,6,27804,0,0,0,0.058,0.016,0.861,10.901,10.008,47.663,48.657,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-20.agents
60.002,23168,46200,5902138,14583325,-1,831,804,815,15669,6071,876,1989,14232,0,0,0,0.058,0.155,0.93,16.43,9.691,41.97,43.03,0.012,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-21.agents
60.002,40764,80347,5586839,15389925,-1,754,736,742,25117,19733,2191,239,18601,0,0,0,0.088,0.007,1.092,7.633,6.525,50.649,51.868,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-22.agents
60.001,36440,71671,5544053,16440732,-1,815,785,791,22533,7337,1264,1688,26151,0,0,0,0.088,0.026,1.113,9.108,7.63,49.083,50.344,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-23.agents
60.004,34054,64797,4743845,13786158,-1,899,884,889,20154,20519,1758,1380,10397,0,0,0,0.091,0.002,1.055,12.151,8.569,46.188,47.375,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-24.agents
60.001,21751,43382,11365743,23069404,-1,890,865,869,10913,542,1770,22,19417,0,0,0,0.045,0.008,0.776,11.066,9.523,47.752,48.614,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-25.agents
60.002,37134,74017,4410678,13895107,-1,886,859,868,18017,2906,826,15,33387,0,0,0,0.087,0.044,1.079,10.383,8.445,47.845,49.071,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-26.agents
60.003,33616,66817,6844270,17840734,-1,858,824,832,18732,4731,2276,18,26591,0,0,0,0.084,0.022,1.012,10.749,9.088,47.597,48.721,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-27.agents
60.002,37399,74546,6773587,17306861,-1,703,683,689,16974,4703,2632,1,30063,0,0,0,0.077,0.048,1.012,12.036,9.102,46.211,47.357,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-28.agents
60.001,32673,62643,5008304,13706660,-1,781,755,761,19191,14307,2966,572,14828,0,0,0,0.097,0.032,0.995,13.071,10.408,45.199,46.323,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-29.agents
5.391,2732,5193,344531,1057458,834,834,816,819,2568,2244,58,38,392,0,0,0,0.01,0.001,0.096,0.945,0.787,4.27,4.38,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-30.agents
13.036,6947,13892,970562,3092211,807,807,786,795,5257,1246,353,0,5348,0,0,0,0.024,0.01,0.258,2.523,1.849,10.066,10.357,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-31.agents
60.005,31758,61339,5085700,13666324,-1,827,810,814,16867,17309,3093,2023,9333,0,0,0,0.099,0.012,0.958,13.488,9.724,44.863,45.947,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-32.agents
60.001,24561,48015,3013347,9576065,-1,760,743,748,16338,13050,2189,301,9021,0,0,0,0.095,0.006,1.015,11.295,8.438,46.991,48.148,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-33.agents
60.001,36289,70696,5253917,14638244,-1,761,740,743,14813,12471,896,398,22524,0,0,0,0.105,0.011,1.191,11.306,9.29,46.693,48.022,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-34.agents
60.002,29986,58832,7625846,17076393,-1,814,778,784,13509,10355,920,222,18489,0,0,0,0.094,0.025,0.912,10.279,8.532,48.158,49.174,0.015,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-35.agents
60.004,25698,50706,4168813,12278054,-1,830,811,813,19114,11805,1854,693,11346,0,0,0,0.116,0.007,1.052,10.484,8.481,47.843,49.03,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-36.agents
60.002,30148,57549,4038538,12223967,-1,834,816,824,21374,20339,1738,660,7411,0,0,0,0.097,0.015,1.013,12.082,9.608,46.22,47.382,0.015,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-37.agents
60.001,28159,54764,4451030,11694835,-1,910,886,893,16376,15649,1801,1272,9437,0,0,0,0.085,0.016,0.869,15.612,12.804,42.901,43.9,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-38.agents
30.03,11154,21784,4484859,9271516,840,840,820,826,7733,2051,261,4,8838,0,0,0,0.032,0.012,0.444,4.955,4.304,24.356,24.857,0.012,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-39.agents
60.001,18325,36143,3720431,9339109,-1,853,835,838,5961,4404,450,228,13243,0,0,0,0.063,0.026,1.045,11.982,10.008,46.354,47.532,0.012,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-40.agents
