runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
300.006,127018,238510,15572188,45218372,-1,805,789,805,52025,91029,4440,264,31285,349856,67050,14758,71.09,6.047,3.179,42.157,35.811,146.099,175.522,0.02,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-0.agents
300.069,66962,133651,22151144,54211083,-1,760,732,760,48435,6486,1528,291,58657,279527,122048,29567,120.461,3.696,2.583,26.937,29.881,127.613,147.44,0.027,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-1.agents
60.295,24318,47263,4453410,12041808,803,803,784,803,13030,17990,793,22,5513,67149,14383,2304,13.099,1.058,0.633,7.129,6.615,32.533,38.655,0.02,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-2.agents
300.008,121645,227294,17144380,45559479,-1,837,821,837,57934,82745,5987,402,32511,393529,57401,9316,65.75,5.268,3.405,40.486,36.145,153.049,183.832,0.02,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-3.agents
0.34,115,229,47470,97645,794,794,780,782,88,24,0,0,91,195,60,0,0.06,0.004,0.005,0.033,0.033,0.2,0.227,0.021,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-4.agents
300.008,141079,281675,21692397,62725764,-1,791,767,791,63300,9045,11221,1442,119371,329613,58066,439415,57.204,7.009,4.729,28.785,21.087,171.836,205.125,0.023,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-5.agents
300.008,130689,261200,24425037,61543959,-1,820,796,820,20198,19070,3228,239,108152,233138,63561,99760,84.965,5.463,3.004,31.001,28.447,151.181,177.214,0.02,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-6.agents
300.009,106007,203608,23691654,60799246,-1,851,826,851,65505,23996,9776,3556,68679,276157,42004,201917,60.422,4.567,3.598,38.555,33.312,164.444,194.69,0.019,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-7.agents
16.517,6526,12928,1337351,3739952,830,830,810,820,4065,2110,165,70,4181,13238,2951,8109,2.885,0.281,0.209,1.427,1.222,9.951,11.818,0.022,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-8.agents
300.013,150019,296733,24908632,74956285,-1,820,798,820,41931,4557,6429,0,139033,155456,58970,71548,49.96,6.414,3.788,17.701,20.835,190.681,224.425,0.02,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-9.agents
