runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
19.33,582,1163,1670931,3554181,9787,9787,9772,9780,14,520,61,0,1,0,0,0,0.012,0.158,0.075,7.891,2.786,10.903,10.982,0.988,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-0.agents
1.91,81,163,123509,347384,9894,9894,9883,9889,13,74,2,0,5,0,0,0,0,0.007,0.017,0.4,0.296,1.19,1.207,1.062,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-2.agents
3.052,119,238,158163,428435,9756,9756,9744,9750,20,117,1,0,1,0,0,0,0.001,0.009,0.016,1.05,0.297,1.669,1.682,1.095,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-5.agents
2.255,100,200,138024,380373,9010,9010,8999,9005,16,98,1,0,1,0,0,0,0.001,0.019,0.016,0.683,0.268,1.286,1.3,1.025,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-8.agents
6.68,379,759,534653,1424772,9117,9117,9104,9113,18,291,88,0,0,0,0,0,0.004,0.042,0.055,1.368,0.685,4.948,5.001,1.057,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-9.agents
6.81,230,460,378268,1043508,10280,10280,10270,10275,15,224,6,0,0,0,0,0,0.004,0.015,0.034,2.962,0.882,3.504,3.538,1.017,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-10.agents
0.645,11,22,42721,136771,9977,9977,9973,9976,16,7,3,0,1,0,0,0,0,0,0.006,0.079,0.064,0.298,0.302,1.048,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-12.agents
12.843,617,1216,1096516,2415039,9759,9759,9723,9732,220,598,1,0,18,0,0,0,0.015,0.117,0.096,1.93,1.651,10.374,10.47,1.046,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-13.agents
1.262,42,84,51804,171386,9929,9929,9922,9925,30,39,3,0,0,0,0,0,0,0.002,0.006,0.188,0.115,0.77,0.775,1.053,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-15.agents
72.647,1026,2052,3532882,8498470,9993,9993,9974,9982,222,923,65,0,38,0,0,0,0.067,0.106,0.209,48.947,7.325,23.017,23.239,1.048,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-90agents-18.agents
